Rep Step Lambda Alpha F1 F2 D1_2 Ln_Like Est_Ln_P(D)
r5 1600 1.00 0.042 0.186 0.206 0.067 -15992 0
r5 1700 1.00 0.032 0.190 0.193 0.064 -16008 0
r5 1800 1.00 0.027 0.219 0.181 0.068 -16035 0
r5 1900 1.00 0.023 0.183 0.171 0.063 -16007 0
r5 2000 1.00 0.031 0.154 0.194 0.062 -15990 0
r5 2100 1.00 0.030 0.210 0.163 0.067 -15988 0
r5 2200 1.00 0.033 0.230 0.190 0.066 -16013 0
r5 2300 1.00 0.032 0.174 0.214 0.064 -15999 0
r5 2400 1.00 0.030 0.200 0.168 0.065 -16031 0
r5 2500 1.00 0.023 0.196 0.179 0.065 -16003 0
r5 2600 1.00 0.021 0.196 0.145 0.066 -16007 0
r5 2700 1.00 0.046 0.185 0.185 0.068 -15979 0
r5 2800 1.00 0.025 0.203 0.183 0.065 -15995 0
r5 2900 1.00 0.025 0.166 0.177 0.065 -16034 0
r5 3000 1.00 0.042 0.191 0.178 0.067 -16015 0
